dataset,model,explainer,k,run_base,false_mean,false_std,true_mean,true_std,ttest_statistic,p_value,interpretation
cicids18,CatBoost,shap,10,runs_5,0.4609,0.23824,0.4484,0.22479,1.70664,0.08797,No significant difference
cicids18,CatBoost,shap,10,runs_10,0.40215,0.22128,0.38985,0.20577,1.8204,0.06877,No significant difference
cicids18,CatBoost,shap,20,runs_3,0.45185,0.22471,0.4454,0.2164,0.92463,0.35521,No significant difference
cicids18,CatBoost,shap,20,runs_5,0.37248,0.22406,0.36528,0.2162,1.03415,0.30113,No significant difference
cicids18,CatBoost,shap,20,runs_10,0.3225,0.20389,0.30888,0.18702,2.20239,0.02769,Significant difference
cicids18,CatBoost,shap,50,runs_3,0.72118,0.09362,0.70706,0.07743,5.19769,0.0,Significant difference
cicids18,CatBoost,shap,50,runs_5,0.57365,0.16169,0.55241,0.1379,4.46981,1e-05,Significant difference
cicids18,CatBoost,shap,50,runs_10,0.40409,0.23557,0.37414,0.20325,4.3049,2e-05,Significant difference
cicids18,RandomForest,lime,5,runs_3,0.6779,0.15167,0.7131,0.16722,-6.973,0.0,Significant difference
cicids18,RandomForest,lime,5,runs_5,0.6139,0.15349,0.6523,0.1721,-7.44697,0.0,Significant difference
cicids18,RandomForest,lime,5,runs_10,0.5474,0.15075,0.5784,0.18674,-5.77674,0.0,Significant difference
cicids18,RandomForest,lime,10,runs_3,0.6801,0.10784,0.7046,0.12572,-6.61479,0.0,Significant difference
cicids18,RandomForest,lime,10,runs_5,0.60525,0.11231,0.63405,0.13287,-7.40311,0.0,Significant difference
cicids18,RandomForest,lime,10,runs_10,0.5358,0.1172,0.55745,0.14091,-5.28287,0.0,Significant difference
cicids18,RandomForest,lime,20,runs_3,0.70785,0.11159,0.68208,0.12723,6.81124,0.0,Significant difference
cicids18,RandomForest,lime,20,runs_5,0.64145,0.12712,0.61187,0.13995,6.99571,0.0,Significant difference
cicids18,RandomForest,lime,20,runs_10,0.57533,0.13228,0.54375,0.14351,7.23478,0.0,Significant difference
cicids18,RandomForest,lime,50,runs_3,0.77546,0.0754,0.76032,0.06471,6.81449,0.0,Significant difference
cicids18,RandomForest,lime,50,runs_5,0.67239,0.10981,0.65152,0.09783,6.34625,0.0,Significant difference
cicids18,RandomForest,lime,50,runs_10,0.56557,0.14205,0.54213,0.13095,5.4257,0.0,Significant difference
cicids18,RandomForest,shap,5,runs_3,0.6779,0.15167,0.7131,0.16722,-6.973,0.0,Significant difference
cicids18,RandomForest,shap,5,runs_5,0.6139,0.15349,0.6523,0.1721,-7.44697,0.0,Significant difference
cicids18,RandomForest,shap,5,runs_10,0.5474,0.15075,0.5784,0.18674,-5.77674,0.0,Significant difference
cicids18,RandomForest,shap,10,runs_3,0.6801,0.10784,0.7046,0.12572,-6.61479,0.0,Significant difference
cicids18,RandomForest,shap,10,runs_5,0.60525,0.11231,0.63405,0.13287,-7.40311,0.0,Significant difference
cicids18,RandomForest,shap,10,runs_10,0.5358,0.1172,0.55745,0.14091,-5.28287,0.0,Significant difference
cicids18,RandomForest,shap,20,runs_3,0.70785,0.11159,0.68208,0.12723,6.81124,0.0,Significant difference
cicids18,RandomForest,shap,20,runs_5,0.64145,0.12712,0.61187,0.13995,6.99571,0.0,Significant difference
cicids18,RandomForest,shap,20,runs_10,0.57533,0.13228,0.54375,0.14351,7.23478,0.0,Significant difference
cicids18,RandomForest,shap,50,runs_3,0.77546,0.0754,0.76032,0.06471,6.81449,0.0,Significant difference
cicids18,RandomForest,shap,50,runs_5,0.67239,0.10981,0.65152,0.09783,6.34625,0.0,Significant difference
cicids18,RandomForest,shap,50,runs_10,0.56557,0.14205,0.54213,0.13095,5.4257,0.0,Significant difference
cicids18,XGBoost,lime,5,runs_3,0.5611,0.2855,0.527,0.24062,4.08438,5e-05,Significant difference
cicids18,XGBoost,lime,5,runs_5,0.473,0.32218,0.433,0.26387,4.29551,2e-05,Significant difference
cicids18,XGBoost,lime,5,runs_10,0.403,0.32675,0.3668,0.25948,3.87998,0.00011,Significant difference
cicids18,XGBoost,lime,10,runs_3,0.61075,0.18046,0.5793,0.15851,5.8558,0.0,Significant difference
cicids18,XGBoost,lime,10,runs_5,0.52135,0.21907,0.47315,0.18469,7.52279,0.0,Significant difference
cicids18,XGBoost,lime,10,runs_10,0.4195,0.23847,0.3672,0.19358,7.61494,0.0,Significant difference
cicids18,XGBoost,lime,20,runs_3,0.574,0.14219,0.55778,0.12867,3.78385,0.00016,Significant difference
cicids18,XGBoost,lime,20,runs_5,0.48662,0.15828,0.46885,0.14223,3.73561,0.00019,Significant difference
cicids18,XGBoost,lime,20,runs_10,0.40068,0.16489,0.37598,0.14365,5.05115,0.0,Significant difference
cicids18,XGBoost,lime,50,runs_3,0.72326,0.06865,0.71548,0.07262,3.48177,0.0005,Significant difference
cicids18,XGBoost,lime,50,runs_5,0.58684,0.11161,0.57355,0.11557,3.69924,0.00022,Significant difference
cicids18,XGBoost,lime,50,runs_10,0.43983,0.15554,0.42526,0.1615,2.90602,0.00368,Significant difference
cicids18,XGBoost,shap,5,runs_3,0.5611,0.2855,0.527,0.24062,4.08438,5e-05,Significant difference
cicids18,XGBoost,shap,5,runs_5,0.473,0.32218,0.433,0.26387,4.29551,2e-05,Significant difference
cicids18,XGBoost,shap,5,runs_10,0.403,0.32675,0.3668,0.25948,3.87998,0.00011,Significant difference
cicids18,XGBoost,shap,10,runs_3,0.61075,0.18046,0.5793,0.15851,5.8558,0.0,Significant difference
cicids18,XGBoost,shap,10,runs_5,0.52135,0.21907,0.47315,0.18469,7.52279,0.0,Significant difference
cicids18,XGBoost,shap,10,runs_10,0.4195,0.23847,0.3672,0.19358,7.61494,0.0,Significant difference
cicids18,XGBoost,shap,20,runs_3,0.574,0.14219,0.55778,0.12867,3.78385,0.00016,Significant difference
cicids18,XGBoost,shap,20,runs_5,0.48662,0.15828,0.46885,0.14223,3.73561,0.00019,Significant difference
cicids18,XGBoost,shap,20,runs_10,0.40068,0.16489,0.37598,0.14365,5.05115,0.0,Significant difference
cicids18,XGBoost,shap,50,runs_3,0.72326,0.06865,0.71548,0.07262,3.48177,0.0005,Significant difference
cicids18,XGBoost,shap,50,runs_5,0.58684,0.11161,0.57355,0.11557,3.69924,0.00022,Significant difference
cicids18,XGBoost,shap,50,runs_10,0.43983,0.15554,0.42526,0.1615,2.90602,0.00368,Significant difference
