dataset,classifier,explainer,threshold,false_mean,false_std,false_var,true_mean,true_std,true_var,ttest_statistic,p_value,interpretation
cicids18,RandomForest,lime,0.2,0.82776,0.02867,0.0008210629881582262,0.82633,0.0266,0.0007068578987150415,1.15514,0.24817,No significant difference
cicids18,RandomForest,lime,0.3,0.92252,0.01409,0.00019824615772234832,0.92429,0.01299,0.00016858150667674492,-2.9076,0.00368,Significant difference
cicids18,RandomForest,lime,0.4,0.95686,0.01547,0.00023897102544721577,0.95727,0.01456,0.0002119264298311916,-0.61429,0.53909,No significant difference
cicids18,RandomForest,lime,0.5,0.98297,0.0054,2.9143613000755776e-05,0.98349,0.00327,1.0682791635172518e-05,-2.62344,0.00877,Significant difference
cicids18,RandomForest,lime,0.6,0.98389,0.0024,5.7382212144116805e-06,0.98411,0.00087,7.556059460821349e-07,-2.75626,0.0059,Significant difference
cicids18,RandomForest,lime,0.7,0.98403,0.00123,1.502645502645491e-06,0.98411,0.00087,7.556059460821349e-07,-1.66927,0.09522,No significant difference
cicids18,RandomForest,lime,0.8,0.98411,0.0005,2.5170068027210715e-07,0.98411,0.00087,7.556059460821349e-07,0.0,1.0,No significant difference
cicids18,RandomForest,lime,0.9,0.98413,0.0,0.0,0.98414,0.0005,2.5170068027211065e-07,-1.0,0.31743,No significant difference
cicids18,RandomForest,shap,0.0,0.19248,0.0759,0.005754629377676997,0.2336,0.09035,0.008154424540186443,-11.02201,0.0,Significant difference
cicids18,RandomForest,shap,0.1,0.73708,0.11021,0.012134014613252708,0.61649,0.15052,0.02263468858654573,20.44043,0.0,Significant difference
cicids18,RandomForest,shap,0.2,0.88144,0.09163,0.00838726102292769,0.78092,0.12323,0.015170268581506673,20.70078,0.0,Significant difference
cicids18,RandomForest,shap,0.3,0.92798,0.06357,0.004037447971781304,0.8633,0.08912,0.007934859158478205,18.68447,0.0,Significant difference
cicids18,RandomForest,shap,0.4,0.94992,0.03952,0.0015603363567649286,0.91175,0.06314,0.003982968002015619,16.20589,0.0,Significant difference
cicids18,RandomForest,shap,0.5,0.96019,0.02385,0.0005683890148652055,0.93971,0.04448,0.0019766177878558825,12.82884,0.0,Significant difference
cicids18,RandomForest,shap,0.6,0.96619,0.01674,0.00027994457042076077,0.95706,0.03219,0.001035015117157974,7.95525,0.0,Significant difference
cicids18,RandomForest,shap,0.7,0.96943,0.01218,0.0001482801713277902,0.96892,0.02126,0.0004515585789871499,0.6555,0.51222,No significant difference
cicids18,RandomForest,shap,0.8,0.9789,0.00998,9.946056941295e-05,0.97556,0.01354,0.0001830183925422017,6.29842,0.0,Significant difference
cicids18,RandomForest,shap,0.9,0.98256,0.00553,3.0536407155454656e-05,0.98013,0.00838,7.016780045351446e-05,7.64909,0.0,Significant difference
